00:00,3
05:00,12
10:00,4
15:00,9
20:00,5
25:00,14
30:00,4
35:00,4
40:00,8
45:00,8
50:00,11
55:00,5





























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































